#Date;Time;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Pdc3;Udc1;Udc2;Udc3;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Uac;INV;Pac;DaySum;Status;Error;Pdc1;Pdc2;Udc1;Udc2;Temp;Uac;Idc1;Idc2;Iac
21.08.18;23:55:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:50:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:45:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:40:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:35:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:30:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:25:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:20:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:15:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
21.08.18;23:10:00;1;0;27417;0;0;0;0;0;0;0;0;0;2;0;26757;0;0;0;0;0;0;0;0;0;3;0;26582;0;0;0;0;0;0;0;0;0;4;0;36634;0;0;0;0;0;0;0;5;0;25412;0;0;0;0;0;0;0;0;0;6;0;24782;0;0;0;0;0;0;0;0;0;7;0;25370;0;0;0;0;0;0;0;0;0;8;0;38177;0;0;0;0;0;0;0;9;0;18530;0;0;0;0;0;0;0;10;0;22799;0;0;0;0;0;0;0;0;0;0;0
